node,degree,clustering,avg_neighbor_degree,ego_edges,anomaly_score,decision_function
249,168,0.2548375319459657,83.625,3791,1,-0.00024266515107063125
882,2,1.0,262.0,5,1,-0.0025955469404698173
5,171,0.10700197238658778,57.046783625730995,1840,1,-0.00726004963571425
13,180,0.11089951120421507,58.111111111111114,2082,1,-0.012805849869987451
434,185,0.20110490602293882,76.41621621621621,3685,1,-0.02131136525967592
86,218,0.12058570198105081,61.821100917431195,3194,1,-0.052512605438006066
62,216,0.15203369751217585,68.41203703703704,3856,1,-0.05654943755420416
107,221,0.1700389594068116,70.77828054298642,4462,1,-0.0651324610742785
82,233,0.1660831921701487,69.78111587982832,4828,1,-0.08140389165503115
121,234,0.17289894014031945,70.74358974358974,5056,1,-0.08155770592530598
160,347,0.09351196494775868,56.731988472622476,6177,1,-0.12597169347817694
352,28,0.39384615384615385,66.67857142857143,179,-1,0.2672478890475603
275,36,0.35650623885918004,66.86111111111111,263,-1,0.26681568238807085
102,23,0.40476190476190477,61.69565217391305,128,-1,0.2667966939598817
563,21,0.38011695906432746,69.66666666666667,100,-1,0.26674366347092193
602,26,0.42028985507246375,61.76923076923077,159,-1,0.2664008397673027
349,24,0.36363636363636365,66.91666666666667,127,-1,0.2663196659165208
323,36,0.3511586452762923,66.16666666666667,261,-1,0.2658893533013883
433,25,0.4268774703557312,61.64,149,-1,0.26546463756064526
457,29,0.37037037037037035,71.79310344827586,181,-1,0.2654334689671736
671,30,0.3816091954022989,74.46666666666667,220,-1,0.2653034703066053
198,38,0.4031746031746032,70.71052631578948,323,-1,0.2652085676692986
496,25,0.391304347826087,70.24,140,-1,0.2649761466585497
156,23,0.3715415019762846,71.1304347826087,138,-1,0.26493204299284256
562,32,0.36551724137931035,73.75,214,-1,0.264855551104928
900,27,0.43333333333333335,70.55555555555556,178,-1,0.2646853721662878
197,37,0.42521008403361343,76.91891891891892,319,-1,0.2646342780898011
679,20,0.42483660130718953,66.5,97,-1,0.26462920725055983
248,26,0.3630769230769231,59.61538461538461,160,-1,0.2646261674677567
360,30,0.34656084656084657,63.96666666666667,182,-1,0.2645230506950939
277,23,0.4857142857142857,67.17391304347827,142,-1,0.2642448490276573
217,24,0.358695652173913,74.0,139,-1,0.2641559458730899
22,15,0.38461538461538464,62.333333333333336,54,-1,0.26406627996697246
130,37,0.34285714285714286,77.67567567567568,270,-1,0.26387473919193427
822,22,0.33157894736842103,61.54545454545455,100,-1,0.263852242963146
470,26,0.35144927536231885,58.26923076923077,143,-1,0.2636883556432067
294,25,0.42292490118577075,74.96,152,-1,0.2635863659509586
681,24,0.43722943722943725,76.25,145,-1,0.263408050738176
